Source Row,Name,URL,Access Status,Access Method,HTTP,Final URL,Page Title,Submit Status,Submit URL,Submit HTTP,Submit Final URL,Auth Required,Needs VPN,Notes,Verified At
2,Betafy,https://betafy.co,UNREACHABLE,DIRECT,0,https://betafy.co,,UNKNOWN,,0,,,Yes,URLError: <urlopen error timed out>; No verified public submit entry found,2026-08-23 12:56 UTC
3,CrunchBase,https://www.crunchbase.com,OK,DIRECT,200,https://www.crunchbase.com,Crunchbase | Private Company Data & Predictive Intelligence,BLOCKED,https://www.crunchbase.com/submit,403,https://www.crunchbase.com/submit,,Yes,,2026-08-23 12:56 UTC
4,EarlyTools,https://earlytools.com,OK,DIRECT,200,https://earlytools.com,,UNKNOWN,,0,,,,No verified public submit entry found,2026-08-23 12:56 UTC
5,Future Tools,https://www.futuretools.io,OK,DIRECT,200,https://futuretools.io/,Future Tools - The Pulse of AI,OPEN,https://futuretools.io/submit-a-tool,200,https://futuretools.io/submit-a-tool,,,,2026-08-23 12:56 UTC
6,LaunchBase,https://launchbase.app,SERVER_ERROR,DIRECT,500,https://launchbase.app,500 Server Error,SERVER_ERROR,https://launchbase.app/submit,500,https://launchbase.app/submit,,,HTTP 500,2026-08-23 12:56 UTC
7,Nextpedia,https://nextpedia.io,OK,DIRECT,200,https://nextpedia.io,NextPedia - The Best & Largest AI Tools Directory,OPEN,https://nextpedia.io/submit-tool,200,https://nextpedia.io/submit-tool/,,,,2026-08-23 12:56 UTC
8,PitchGround,https://pitchground.com,OK,DIRECT,200,https://seoengine.ai/,,STALE,https://seoengine.ai/submit,404,https://seoengine.ai/submit,,,,2026-08-23 12:56 UTC
9,SaaSHub,https://www.saashub.com,OK,DIRECT,200,https://www.saashub.com,"SaaSHub - Software Alternatives, Accelerators & Startups",OPEN,https://www.saashub.com/services/submit,200,https://www.saashub.com/services/submit,,,,2026-08-23 12:56 UTC
10,SaaSList,https://saaslist.co,UNREACHABLE,DIRECT,0,https://saaslist.co,,UNKNOWN,,0,,,Yes,URLError: <urlopen error [Errno -2] Name or service not known>; No verified public submit entry found,2026-08-23 12:56 UTC
11,SideProjectors,https://www.sideprojectors.com,OK,DIRECT,200,https://www.sideprojectors.com,"Sell, buy, show off your side projects - SideProjectors | Marketplace to buy and sell side projects.",STALE,https://www.sideprojectors.com/submit,200,https://www.sideprojectors.com/submit,,,,2026-08-23 12:56 UTC
12,StackShare,https://stackshare.io,BLOCKED,CLOAK_FAILED,429,https://stackshare.io/,Vercel Security Checkpoint,BLOCKED,https://stackshare.io/submit,429,https://stackshare.io/submit,,Yes,HTTP 429,2026-08-23 12:56 UTC
13,Startup Resources,https://startupresources.io,OK,DIRECT,202,https://startupresources.io,,UNKNOWN,,0,,,,No verified public submit entry found,2026-08-23 12:56 UTC
14,StartupBase,https://startupbase.io,OK,DIRECT,200,https://startupbase.io,StartupBase - Launch and discover new products every day,OPEN,https://startupbase.io/launch,200,https://startupbase.io/launch,,,,2026-08-23 12:56 UTC
15,ToolBoard,https://toolboard.io,SERVER_ERROR,DIRECT,500,https://toolboardcanvas.com/,WordPress › Error,SERVER_ERROR,https://toolboardcanvas.com/submit,500,https://toolboardcanvas.com/submit,,,HTTP 500,2026-08-23 12:56 UTC
