Source Row	Name	URL	Access Status	Access Method	Submit Status	Submit URL	Auth Required	Needs VPN	Notes	Verified At
2	Betafy	https://betafy.co	UNREACHABLE	DIRECT	UNKNOWN			Yes	URLError: <urlopen error timed out>; No verified public submit entry found	2026-08-23 12:56 UTC
3	CrunchBase	https://www.crunchbase.com	OK	DIRECT	BLOCKED	https://www.crunchbase.com/submit		Yes		2026-08-23 12:56 UTC
4	EarlyTools	https://earlytools.com	OK	DIRECT	UNKNOWN				No verified public submit entry found	2026-08-23 12:56 UTC
5	Future Tools	https://www.futuretools.io	OK	DIRECT	OPEN	https://futuretools.io/submit-a-tool				2026-08-23 12:56 UTC
6	LaunchBase	https://launchbase.app	SERVER_ERROR	DIRECT	SERVER_ERROR	https://launchbase.app/submit			HTTP 500	2026-08-23 12:56 UTC
7	Nextpedia	https://nextpedia.io	OK	DIRECT	OPEN	https://nextpedia.io/submit-tool				2026-08-23 12:56 UTC
8	PitchGround	https://pitchground.com	OK	DIRECT	STALE	https://seoengine.ai/submit				2026-08-23 12:56 UTC
9	SaaSHub	https://www.saashub.com	OK	DIRECT	OPEN	https://www.saashub.com/services/submit				2026-08-23 12:56 UTC
10	SaaSList	https://saaslist.co	UNREACHABLE	DIRECT	UNKNOWN			Yes	URLError: <urlopen error [Errno -2] Name or service not known>; No verified public submit entry found	2026-08-23 12:56 UTC
11	SideProjectors	https://www.sideprojectors.com	OK	DIRECT	STALE	https://www.sideprojectors.com/submit				2026-08-23 12:56 UTC
12	StackShare	https://stackshare.io	BLOCKED	CLOAK_FAILED	BLOCKED	https://stackshare.io/submit		Yes	HTTP 429	2026-08-23 12:56 UTC
13	Startup Resources	https://startupresources.io	OK	DIRECT	UNKNOWN				No verified public submit entry found	2026-08-23 12:56 UTC
14	StartupBase	https://startupbase.io	OK	DIRECT	OPEN	https://startupbase.io/launch				2026-08-23 12:56 UTC
15	ToolBoard	https://toolboard.io	SERVER_ERROR	DIRECT	SERVER_ERROR	https://toolboardcanvas.com/submit			HTTP 500	2026-08-23 12:56 UTC
16	AI Cyclopedia	https://www.aicyclopedia.com	OK	DIRECT	BLOCKED	https://aicyclopedia.com/submit-your-ai-tool/		Yes		2026-08-23 12:56 UTC
17	AI Database	https://www.ai-database.org	OK	DIRECT	STALE	https://ai-database.org/submit				2026-08-23 12:56 UTC
18	AI Scout	https://aiscout.net	SERVER_ERROR	DIRECT	UNKNOWN				HTTP 520; No verified public submit entry found	2026-08-23 12:56 UTC
19	AI Tool Directory	https://aitooldirectory.com	OK	DIRECT	AUTH_REQUIRED	https://aitooldirectory.com/login?redirect=/submit	Yes			2026-08-23 12:56 UTC
20	AI Valley	https://aivalley.ai	OK	DIRECT	OPEN	https://aivalley.ai/submit				2026-08-23 12:56 UTC
21	All Things AI	https://allthings-ai.com	OK	DIRECT	STALE	https://allthings-ai.com/submit				2026-08-23 12:56 UTC
22	AlternativeTo	https://alternativeto.net	OK	DIRECT	STALE	https://alternativeto.net/submit				2026-08-23 12:56 UTC
